"DOMAIN","COMPANY_NAME","COMPANY_INDUSTRY","COMPANY_REVENUE","COMPANY_SIZE","JOURNEY_STAGE","FIRST_VISIT_DATE","TOTAL_VISITS","TOTAL_VISITORS","CONTACT_EMAIL_SHA256"
"rapid-works.com","Rapid Works","Health, Wellness and Fitness","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-08-12",6,5,""
"atlas-labs.com","Atlas Labs","Marketing and Advertising","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware","2026-04-30",5,1,"81d98767dfb8af3f766636c1cfc3c042872c23a1d36990aad83a2537d2f61b53"
"bright-corp.com","Bright Corp","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged","2026-08-30",75,17,""
"cyber-labs.com","Cyber Labs","Manufacturing","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware","2026-04-12",3,6,""
"cyber-media.com","Cyber Media","Education Management","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged","2026-04-26",56,10,"5065e4a9ed57dd3082672b3df0e1350a8c73c556b4ec9e9b3637fae8ef36254e"
"atlas-data.com","Atlas Data","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-05-28",2,1,"af41e9aa6ab0dd7e8b8afc4b01c475456403e7f262516dfbf73e9d36ca9cd643"
"smart-net.com","Smart Net","Telecommunications","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-04-17",7,5,""
"green-hub.com","Green Hub","Food & Beverages","Medium-Large ($50MM-$100MM)","Medium (200-499)","MQL","2026-04-20",195,17,"4738cc1bceedf97e3421029f35536d032724a2d5e30a2a4ad099528df7477101"
"smart-io.com","Smart Io","E-Learning","Small ($1MM-$10MM)","Small (10-49)","Unaware","2026-06-18",3,1,""
"vertex-io.com","Vertex Io","Telecommunications","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware","2026-04-29",1,1,""
"apex-media.com","Apex Media","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Engaged","2026-06-17",40,10,"e89fb929384ba744af4920dd4e3a2341115474ec0c2253a06cd4ae42a427ca53"
"bright-group.com","Bright Group","Software / Information Technology","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Engaged","2026-08-16",12,13,""
"rapid-net.com","Rapid Net","Manufacturing","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-09-10",18,1,"f31ad26bd03ffb4a5d02ffb9e5425d7d0c49711c9cbe9497dd23aaf8ffe76e9c"
"cyber-inc.com","Cyber Inc","Consumer Goods","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged","2026-08-25",105,13,""
"swift-io.com","Swift Io","Health, Wellness and Fitness","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware","2026-03-30",11,5,""
"rapid-systems.com","Rapid Systems","Management Consulting","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Unaware","2026-04-15",4,1,""
"vertex-solutions.com","Vertex Solutions","E-Learning","XXLarge ($1B+)","XXLarge (10,000+)","Aware","2026-09-19",12,3,"6ef8ff6f7f50fa8d9e59ce6cc3c55558bef422b2918b503bce86ba608414c9e1"
"iron-digital.com","Iron Digital","Entertainment","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware","2026-05-11",1,1,"0c232f8d7298a82f3cd9ced4456596ad0f8d4749d1a73d3bdd30c133dae61090"
"core-solutions.com","Core Solutions","Entertainment","XXLarge ($1B+)","XXLarge (10,000+)","Unaware","2026-08-31",3,1,"1d6274ffaa660cc876937c800174f329d594e2e74f29567c1e20cb4d11e2fa74"
"core-tech.com","Core Tech","Retail","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Aware","2026-07-09",14,3,"3f0219bc6ad2adb0a7ebe80e0bd4950458dba3f8da72d89376a3893d41b5e890"
"apex-io.com","Apex Io","Management Consulting","Micro ($0-$1MM)","Small (10-49)","Aware","2026-05-22",14,2,"77da072e90a5cbbf1be079098b07d59e5f2fdcc86f78895aa10f274e9d7475f8"
"nova-tech.com","Nova Tech","Education Management","Small ($1MM-$10MM)","Small (10-49)","Aware","2026-05-12",13,3,"42a21c6b4ea62a073cb62336b4a14164b3246db3c0e1f49a90a8ab70fe45cd6c"
"nova-inc.com","Nova Inc","Automotive","Micro ($0-$1MM)","Micro (1-9)","Unaware","2026-04-11",5,1,"1b21da720c0fcf602aa6e3565a45ae0b1ad54acc1a823c3faf6b26df079928e6"
"swift-solutions.com","Swift Solutions","Marketing and Advertising","XLarge ($200MM-$1B)","Large (1,000-4,999)","Unaware","2026-04-18",1,1,""
"bright-media.com","Bright Media","Marketing and Advertising","Medium-Large ($50MM-$100MM)","Medium (200-499)","Opportunity","2026-07-06",342,43,""
"bright-data.com","Bright Data","Construction","Small ($1MM-$10MM)","Medium-Small (50-199)","Opportunity","2026-06-07",425,18,"2c7e5677eb2054fd54af0586f061b1ced1a33de1e412556030dc1d1dcdcfc158"
"green-data.com","Green Data","Construction","Micro ($0-$1MM)","Micro (1-9)","Opportunity","2026-04-07",231,17,"0036885d41df6b3330f6b1de2a1702a376d14fdba65836833e54737759fd8c88"
