"CAMPAIGN_NAME","VIDEO_IMPRESSIONS","VIDEO_COMPLETIONS","CTV_SPEND","MATCHED_PURCHASERS","TOTAL_PURCHASE_VALUE","CTV_ROAS","COMPLETION_TO_PURCHASE_RATE"
"CTV Campaign 046",4398882,1407642,262144,94,24689,0.09,0.007
"CTV Campaign 003",4774361,1527796,272073,102,26796,0.1,0.007
"CTV Campaign 031",4765240,1524873,220519,102,26745,0.12,0.007
"CTV Campaign 010",4637378,1483959,262071,99,26027,0.1,0.007
"CTV Campaign 033",5158085,1650589,275286,110,28950,0.11,0.007
"CTV Campaign 014",4799210,1535746,262389,103,26936,0.1,0.007
"CTV Campaign 025",5444750,1742323,232339,117,30559,0.13,0.007
"CTV Campaign 047",5211536,1667686,243482,112,29250,0.12,0.007
"CTV Campaign 023",4764642,1524685,262422,102,26741,0.1,0.007
"CTV Campaign 021",4763899,1524442,239621,102,26737,0.11,0.007
"CTV Campaign 018",4758754,1522801,259383,102,26708,0.1,0.007
"CTV Campaign 041",4758116,1522594,264183,102,26705,0.1,0.007
"CTV Campaign 024",4912098,1571870,245191,105,27569,0.11,0.007
"CTV Campaign 007",4668651,1493967,253286,100,26203,0.1,0.007
"CTV Campaign 026",4658969,1490873,246483,100,26148,0.11,0.007
"CTV Campaign 048",4591522,1469283,263804,98,25770,0.1,0.007
"CTV Campaign 045",4559241,1458957,242795,98,25589,0.11,0.007
"CTV Campaign 000",4523487,1447516,224791,97,25388,0.11,0.007
"CTV Campaign 038",4427758,1416879,251269,95,24851,0.1,0.007
"CTV Campaign 017",4792296,1533534,232241,103,26897,0.12,0.007
"CTV Campaign 030",4873481,1559515,251142,104,27352,0.11,0.007
"CTV Campaign 019",4741308,1517221,235673,102,26611,0.11,0.007
"CTV Campaign 005",4855761,1553847,239936,104,27253,0.11,0.007
"CTV Campaign 036",4818849,1542031,254479,103,27046,0.11,0.007
"CTV Campaign 034",4962144,1587884,235877,106,27850,0.12,0.007
"CTV Campaign 011",4952420,1584774,229074,106,27795,0.12,0.007
"CTV Campaign 043",5150130,1648039,249700,110,28905,0.12,0.007
"CTV Campaign 028",5125805,1640259,253493,110,28769,0.11,0.007
"CTV Campaign 049",4733898,1514844,256626,101,26569,0.1,0.007
"CTV Campaign 016",4719688,1510300,249163,101,26489,0.11,0.007
"CTV Campaign 008",4325375,1384120,248183,93,24276,0.1,0.007
"CTV Campaign 012",4301462,1376467,261686,92,24142,0.09,0.007
"CTV Campaign 040",5206850,1666186,242939,112,29223,0.12,0.007
"CTV Campaign 009",5203289,1665049,256583,111,29203,0.11,0.007
"CTV Campaign 027",4976581,1592503,244715,107,27931,0.11,0.007
"CTV Campaign 037",5088564,1628342,243252,109,28560,0.12,0.007
"CTV Campaign 013",4994704,1598305,243763,107,28033,0.11,0.007
"CTV Campaign 002",4632523,1482409,289559,99,26000,0.09,0.007
"CTV Campaign 039",4619588,1478272,281441,99,25927,0.09,0.007
"CTV Campaign 032",4893917,1566054,244143,105,27467,0.11,0.007
"CTV Campaign 006",4890815,1565059,237881,105,27450,0.12,0.007
"CTV Campaign 001",5117456,1637586,253684,110,28722,0.11,0.007
"CTV Campaign 020",4551196,1456380,248742,97,25544,0.1,0.007
"CTV Campaign 004",4975282,1592089,227166,107,27924,0.12,0.007
"CTV Campaign 042",4966285,1589212,276804,106,27873,0.1,0.007
"CTV Campaign 029",4709358,1507000,235045,101,26431,0.11,0.007
"CTV Campaign 035",4424180,1415735,243460,95,24831,0.1,0.007
"CTV Campaign 015",4422259,1415123,232307,95,24820,0.11,0.007
"CTV Campaign 022",4085754,1307435,243436,88,22931,0.09,0.007
"CTV Campaign 044",4603729,1473194,224972,99,25838,0.11,0.007
