"RULE_ID","PREDICATE","DIM","DIM_VALUE","SUPPORT","PURCHASE_RATE","BASELINE_RATE","RAW_LIFT","SHRUNK_LIFT","BID_MULTIPLIER","CI_LOWER","CI_UPPER","RULE_ACTION","SOURCE_PLATFORM","VALID_FROM","VALID_TO"
61,"Segment=Gated Content Downloads","SEGMENT_NAME","Gated Content Downloads",287710,0.029777,0.029932,0.995,0.995,0.99,0.029155,0.030398,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
62,"City=New York","CITY","New York",238128,0.029635,0.029932,0.99,0.99,0.99,0.028954,0.030316,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
63,"City=Seattle","CITY","Seattle",111033,0.029586,0.029932,0.988,0.988,0.99,0.028589,0.030582,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
64,"City=Denver","CITY","Denver",111235,0.02955,0.029932,0.987,0.987,0.99,0.028555,0.030545,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
13,"Channel=web","CHANNEL","web",554059,0.038942,0.029932,1.301,1.301,1.3,0.038432,0.039451,"BOOST","ADROLL","2026-09-23","2026-10-23"
14,"Device=connected_tv AND City=New York","Device x City","connected_tv_New York",35908,0.038821,0.029932,1.297,1.297,1.3,0.036823,0.040819,"BOOST","ADROLL","2026-09-23","2026-10-23"
15,"Channel=instagram AND Attribution=click_through","Channel x Attribution","instagram_click_through",82956,0.03878,0.029932,1.296,1.296,1.3,0.037466,0.040093,"BOOST","ADROLL","2026-09-23","2026-10-23"
87,"Channel=native","CHANNEL","native",238105,0.026568,0.029932,0.888,0.888,0.89,0.025922,0.027214,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
88,"Device=mobile_phone AND City=Atlanta","Device x City","mobile_phone_Atlanta",38932,0.025814,0.029932,0.862,0.862,0.86,0.024239,0.02739,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
89,"Device=tablet AND City=Los Angeles","Device x City","tablet_Los Angeles",30869,0.025365,0.029932,0.847,0.847,0.85,0.023611,0.027119,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
90,"Device=tablet AND City=Houston","Device x City","tablet_Houston",21471,0.025337,0.029932,0.846,0.846,0.85,0.023235,0.027438,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
65,"City=Atlanta","CITY","Atlanta",110923,0.029489,0.029932,0.985,0.985,0.99,0.028493,0.030485,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
66,"AdSize=native","AD_SIZE","native",198575,0.02945,0.029932,0.984,0.984,0.98,0.028706,0.030193,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
67,"AdSize=video","AD_SIZE","video",197328,0.029433,0.029932,0.983,0.983,0.98,0.028687,0.030179,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
68,"City=Chicago","CITY","Chicago",157618,0.029413,0.029932,0.983,0.983,0.98,0.028579,0.030247,"NEUTRAL","ADROLL","2026-09-23","2026-10-23"
95,"Device=tablet AND City=Miami","Device x City","tablet_Miami",18962,0.024154,0.029932,0.807,0.807,0.81,0.021968,0.026339,"SUPPRESS","ADROLL","2026-09-23","2026-10-23"
