"METHOD_CODE","DEFAULT_ORDER","MATCH_LEVEL","DESCRIPTION","APPLICABLE_PLATFORMS"
"EXCT",1,"INDIVIDUAL","Exact name + address","TTD"
"FZY1",2,"INDIVIDUAL","Fuzzy match level 1","TTD"
"FZY2",3,"INDIVIDUAL","Fuzzy match level 2","TTD"
"FZY3",4,"INDIVIDUAL","Fuzzy match level 3","TTD"
"FZY4",5,"INDIVIDUAL","Fuzzy match level 4","TTD"
"FZY5",6,"INDIVIDUAL","Fuzzy match level 5","TTD"
"HEM1",7,"INDIVIDUAL","Hashed email match","TTD,PUBMATIC"
"MDI1",8,"INDIVIDUAL","MAID individual match","TTD,PUBMATIC,KARGO"
"HHD1",9,"HOUSEHOLD","Lastname + ZIP11 household","TTD"
"HHD2",10,"HOUSEHOLD","ZIP11 household","TTD"
"IPA1",11,"HOUSEHOLD","IP address match","TTD,PUBMATIC,KARGO"
"MDH1",12,"HOUSEHOLD","MAID household match","TTD"
