"PLATFORM","MATCH_CODE","MATCH_LEVEL","WATERFALL_STEP","MATCHED_COUNT","HH_ONLY_COUNT","PCT_OF_MATCHED","PCT_OF_TOTAL_AFS"
"TTD","IPA1","HOUSEHOLD",11,4487,1367,10,4.5
"TTD","FZY3","INDIVIDUAL",4,2269,0,5.1,2.3
"TTD","EXCT","INDIVIDUAL",1,8896,0,19.9,8.9
"KARGO","IPA1","HOUSEHOLD",11,11172,3335,49.7,11.2
"TTD","MDI1","INDIVIDUAL",8,4541,0,10.1,4.5
"TTD","HHD1","HOUSEHOLD",9,4502,1382,10,4.5
"TTD","HHD2","HOUSEHOLD",10,2951,854,6.6,3
"PUBMATIC","HEM1","INDIVIDUAL",7,10455,0,39.9,10.5
"TTD","HEM1","INDIVIDUAL",7,5931,0,13.2,5.9
"TTD","FZY5","INDIVIDUAL",6,752,0,1.7,0.8
"KARGO","MDI1","INDIVIDUAL",8,11303,0,50.3,11.3
"TTD","FZY1","INDIVIDUAL",2,4515,0,10.1,4.5
"TTD","FZY2","INDIVIDUAL",3,3010,0,6.7,3
"TTD","MDH1","HOUSEHOLD",12,1471,411,3.3,1.5
"TTD","FZY4","INDIVIDUAL",5,1487,0,3.3,1.5
"PUBMATIC","MDI1","INDIVIDUAL",8,5974,0,22.8,6
"PUBMATIC","IPA1","HOUSEHOLD",11,9802,2939,37.4,9.8
