"DEVICE_PLATFORM","APP_NAME","EVENTS","VIDEO_COMPLETIONS","BRANDS_PURCHASED","TOTAL_PURCHASE_VALUE","AVG_PURCHASE_VALUE"
"Android TV","Paramount+",8,0,4,59.59,7.45
"Roku","Peacock",9,3,5,68.01,7.56
"LG Smart TV","Fubo TV",5,3,3,37.31,7.46
"Samsung TV","Peacock",10,1,5,75.29,7.53
"LG Smart TV","Peacock",5,0,3,37.14,7.43
"Android TV","Pluto TV",5,0,4,37.6,7.52
"Apple TV","Pluto TV",14,5,6,105.72,7.55
"Roku","",184,23,12,1378.56,7.49
"","Fubo TV",157,23,12,1171.02,7.46
"Fire TV","Fubo TV",10,0,5,74.33,7.43
"Fire TV","",159,30,12,1189.62,7.48
"","Peacock",180,37,12,1342.13,7.46
"Android TV","Tubi",11,2,5,82.07,7.46
"Samsung TV","Tubi",7,5,3,52.41,7.49
"Fire TV","Peacock",8,5,4,59.86,7.48
"Android TV","",161,34,12,1205.26,7.49
"Roku","Paramount+",11,0,5,82.23,7.48
"Samsung TV","Pluto TV",7,2,5,52.36,7.48
"Fire TV","Paramount+",11,1,6,83.18,7.56
"LG Smart TV","Tubi",11,0,6,82.78,7.53
"","Tubi",137,22,12,1021.05,7.45
"Samsung TV","",183,30,12,1369.47,7.48
"Apple TV","Peacock",9,4,3,67.4,7.49
"Samsung TV","Paramount+",7,1,3,52.55,7.51
"Apple TV","",210,28,12,1570.06,7.48
"Fire TV","Pluto TV",5,0,4,37.29,7.46
"Android TV","Fubo TV",12,2,5,90.25,7.52
"Samsung TV","Fubo TV",6,1,5,44.43,7.4
"","Pluto TV",160,30,12,1193.5,7.46
"LG Smart TV","",171,25,12,1280.2,7.49
"Apple TV","Tubi",5,1,4,37.44,7.49
"Apple TV","Paramount+",8,3,5,60.07,7.51
"LG Smart TV","Paramount+",5,2,4,37.78,7.56
"","Paramount+",122,23,12,909.14,7.45
"LG Smart TV","Pluto TV",6,1,5,44.91,7.49
"Android TV","Peacock",15,0,7,112.54,7.5
"Roku","Tubi",7,0,3,52.62,7.52
"Roku","Fubo TV",13,4,7,97.34,7.49
