"AUCTION_ID","EVENT_TYPE","PUBLISHER_DOMAIN","CREATIVE_FORMAT","PLACEMENT_NAME","DEVICE_TYPE","DEVICE_PLATFORM","APP_NAME","BRAND_ID","BRAND_NAME","PURCHASE_AMOUNT","MATCH_CODE"
"dc559a9c-975f-483f-b162-5ca206090a70","video_complete","buzzfeed.com","Hover","CTV Venti Package","Tablet","","",1144910,"Netflix",7.47,"MDI1"
"1fd25bde-e412-424c-9484-d9af9cafd81c","video_midpoint","espn.com","Hover","CTV Venti Package","Tablet","","",1144750,"Target",7.4,"MDI1"
"598c62f7-174e-43ce-871d-a83145c92c78","video_complete","forbes.com","ABA Display","Mobile Hover","Connected TV","Samsung TV","",1144910,"Netflix",7.64,"MDI1"
"7b78e318-3bfe-492a-9fd3-55e47d64ae69","video_complete","usatoday.com","Hover","Middle Banner - Standard","Phone","","",1144850,"Sephora",7.51,"MDI1"
"ed61e790-a5da-4fef-aa91-e654d5b4692d","click","people.com","HighRise","Middle Banner - Standard","Tablet","","",1144761,"Old Navy",7.5,"MDI1"
"73c58739-04d8-4d6b-8a4a-ef68c4beb2b6","impression","buzzfeed.com","Venti","Mobile Hover","Computer","","Tubi",1144790,"Apple",7.44,"MDI1"
"73c58739-04d8-4d6b-8a4a-ef68c4beb2b6","impression","buzzfeed.com","Venti","Mobile Hover","Computer","","Tubi",1144790,"Apple",7.44,"MDI1"
"73c58739-04d8-4d6b-8a4a-ef68c4beb2b6","impression","buzzfeed.com","Venti","Mobile Hover","Computer","","Tubi",1144790,"Apple",7.44,"MDI1"
"26209d44-9f01-4320-a38e-71ded9f51284","impression","espn.com","HighRise","Mobile Hover","Phone","","",1144761,"Old Navy",7.43,"MDI1"
"b1e5d11a-3e56-4148-bb72-f38be40ef364","impression","tmz.com","Venti","Breakaway Display","Phone","Fire TV","",1144790,"Apple",7.48,"MDI1"
"61aa1d56-1099-4f2d-aeaa-2f7610387e1a","impression","forbes.com","Breakaway","Mobile Hover","Phone","","",1144721,"Starbucks",7.44,"MDI1"
"68e6645e-59c5-4e34-8c7f-82dbbc8c2976","video_midpoint","tmz.com","Venti","CTV Venti Package","Connected TV","","",1144722,"Chick-fil-A",7.52,"MDI1"
"d74f2a72-e3be-4f0f-9c74-37364221e227","click","forbes.com","Breakaway","Middle Banner - Standard","Phone","Roku","",1144750,"Target",7.65,"MDI1"
"d74f2a72-e3be-4f0f-9c74-37364221e227","click","forbes.com","Breakaway","Middle Banner - Standard","Phone","Roku","",1144750,"Target",7.65,"MDI1"
"4aa3de66-8810-4075-bea6-48fed1a9cbfc","video_complete","people.com","Venti","Anchor w Video Package","Tablet","Apple TV","Tubi",1144910,"Netflix",7.49,"MDI1"
"dfea821c-592f-4caa-aa54-18a15a1569c8","impression","tmz.com","Hover","Anchor w Video Package","Tablet","","Tubi",1144750,"Target",7.48,"MDI1"
"dfea821c-592f-4caa-aa54-18a15a1569c8","impression","tmz.com","Hover","Anchor w Video Package","Tablet","","Tubi",1144750,"Target",7.48,"MDI1"
"1d3cd644-8431-44eb-9f2f-16566d717bb1","video_start","buzzfeed.com","Breakaway","Middle Banner - Standard","Connected TV","","",1144722,"Chick-fil-A",7.45,"MDI1"
"128ace50-c3e6-4353-a598-df21bd61f9d6","click","usatoday.com","Breakaway","Runway Premium","Computer","","Fubo TV",1144910,"Netflix",7.47,"MDI1"
"128ace50-c3e6-4353-a598-df21bd61f9d6","click","usatoday.com","Breakaway","Runway Premium","Computer","","Fubo TV",1144910,"Netflix",7.47,"MDI1"
"22758ae4-c8d5-49f3-b814-72599b2cf078","video_load","weather.com","Venti","Mobile Hover","Phone","","",1144761,"Old Navy",7.44,"MDI1"
"574745b8-7d10-4420-8082-8b5d9e86cc73","impression","espn.com","Hover","Mobile Hover","Computer","","",1144750,"Target",7.4,"MDI1"
"108a6ca5-ac7f-40d0-bc6b-73ecde756dcf","click","nytimes.com","Venti","Mobile Hover","Connected TV","LG Smart TV","",1144761,"Old Navy",7.44,"MDI1"
"108a6ca5-ac7f-40d0-bc6b-73ecde756dcf","click","nytimes.com","Venti","Mobile Hover","Connected TV","LG Smart TV","",1144761,"Old Navy",7.44,"MDI1"
"44f54de1-a479-486e-9e28-be1cbdec31b2","video_complete","espn.com","Venti","Middle Banner - Standard","Phone","","",1144750,"Target",7.45,"MDI1"
"44f54de1-a479-486e-9e28-be1cbdec31b2","video_complete","espn.com","Venti","Middle Banner - Standard","Phone","","",1144750,"Target",7.45,"MDI1"
"397af236-bfd0-458c-9886-d98b4bcc0070","impression","nytimes.com","Hover","Breakaway Display","Phone","","",1144673,"Walmart Grocery",7.49,"MDI1"
