"RULE_ID","PREDICATE","DIM","DIM_VALUE","SUPPORT","PURCHASE_RATE","BASELINE_RATE","RAW_LIFT","SHRUNK_LIFT","BID_MULTIPLIER","CI_LOWER","CI_UPPER","RULE_ACTION","SOURCE_PLATFORM","VALID_FROM","VALID_TO"
16,"Format=HighRise AND Event=click","Format x Event","HighRise_click",33154,0.023979,0.012703,1.888,1.888,1.89,0.022332,0.025626,"BOOST","KARGO","2026-09-22","2026-10-22"
17,"Platform=Samsung TV AND Format=Runway","Platform x Format","Samsung TV_Runway",11050,0.022805,0.012703,1.795,1.795,1.8,0.020022,0.025589,"BOOST","KARGO","2026-09-22","2026-10-22"
18,"Platform=Roku AND Format=Runway","Platform x Format","Roku_Runway",11100,0.022342,0.012703,1.759,1.759,1.76,0.019593,0.025092,"BOOST","KARGO","2026-09-22","2026-10-22"
112,"DMA=phoenix","GEO_DMA","phoenix",200755,0.012607,0.012703,0.993,0.993,0.99,0.012119,0.013095,"NEUTRAL","KARGO","2026-09-22","2026-10-22"
113,"Placement=CTV Venti Package","PLACEMENT_NAME","CTV Venti Package",332956,0.012563,0.012703,0.989,0.989,0.99,0.012185,0.012942,"NEUTRAL","KARGO","2026-09-22","2026-10-22"
114,"Format=Runway AND Event=video_start","Format x Event","Runway_video_start",33193,0.012503,0.012703,0.984,0.984,0.98,0.011307,0.013698,"NEUTRAL","KARGO","2026-09-22","2026-10-22"
1,"Format=Runway AND Event=video_complete","Format x Event","Runway_video_complete",33210,0.038031,0.012703,2.994,2.994,2.99,0.035974,0.040088,"BOOST","KARGO","2026-09-22","2026-10-22"
2,"Format=Breakaway AND Event=video_complete","Format x Event","Breakaway_video_complete",33386,0.033337,0.012703,2.624,2.624,2.62,0.031412,0.035263,"BOOST","KARGO","2026-09-22","2026-10-22"
3,"Format=Runway AND Event=click","Format x Event","Runway_click",33582,0.03222,0.012703,2.536,2.536,2.54,0.030331,0.034108,"BOOST","KARGO","2026-09-22","2026-10-22"
109,"DMA=miami","GEO_DMA","miami",198887,0.012681,0.012703,0.998,0.998,1,0.012189,0.013172,"NEUTRAL","KARGO","2026-09-22","2026-10-22"
110,"Format=Breakaway AND Device=Tablet","Format x Device","Breakaway_Tablet",83167,0.012637,0.012703,0.995,0.995,0.99,0.011878,0.013396,"NEUTRAL","KARGO","2026-09-22","2026-10-22"
111,"DMA=denver","GEO_DMA","denver",199945,0.012628,0.012703,0.994,0.994,0.99,0.012139,0.013118,"NEUTRAL","KARGO","2026-09-22","2026-10-22"
25,"Platform=Apple TV","DEVICE_PLATFORM","Apple TV",66493,0.021175,0.012703,1.667,1.667,1.67,0.020081,0.022269,"BOOST","KARGO","2026-09-22","2026-10-22"
26,"Format=Breakaway AND Event=video_thirdquartile","Format x Event","Breakaway_video_thirdquartile",33510,0.021009,0.012703,1.654,1.654,1.65,0.019473,0.022544,"BOOST","KARGO","2026-09-22","2026-10-22"
27,"Format=Venti AND Event=video_thirdquartile","Format x Event","Venti_video_thirdquartile",33583,0.020755,0.012703,1.634,1.634,1.63,0.01923,0.022279,"BOOST","KARGO","2026-09-22","2026-10-22"
43,"Format=HighRise AND Device=Connected TV","Format x Device","HighRise_Connected TV",83582,0.019011,0.012703,1.497,1.497,1.5,0.018085,0.019937,"BOOST","KARGO","2026-09-22","2026-10-22"
44,"Platform=Apple TV AND Format=Hover","Platform x Format","Apple TV_Hover",11071,0.018878,0.012703,1.486,1.486,1.49,0.016343,0.021413,"BOOST","KARGO","2026-09-22","2026-10-22"
45,"Device=Connected TV AND DMA=new york","Device x DMA","Connected TV_new york",49892,0.018861,0.012703,1.485,1.485,1.48,0.017667,0.020054,"BOOST","KARGO","2026-09-22","2026-10-22"
49,"Platform=Samsung TV AND Format=Venti","Platform x Format","Samsung TV_Venti",10948,0.018451,0.012703,1.453,1.453,1.45,0.01593,0.020972,"BOOST","KARGO","2026-09-22","2026-10-22"
50,"Platform=LG Smart TV AND Format=Breakaway","Platform x Format","LG Smart TV_Breakaway",10866,0.018038,0.012703,1.42,1.42,1.42,0.015535,0.02054,"BOOST","KARGO","2026-09-22","2026-10-22"
51,"Format=Breakaway AND Event=video_midpoint","Format x Event","Breakaway_video_midpoint",33165,0.018031,0.012703,1.419,1.419,1.42,0.016599,0.019463,"BOOST","KARGO","2026-09-22","2026-10-22"
157,"Platform=Fire TV AND Format=ABA Display","Platform x Format","Fire TV_ABA Display",10979,0.006831,0.012703,0.538,0.538,0.54,0.00529,0.008372,"SUPPRESS","KARGO","2026-09-22","2026-10-22"
158,"Platform=LG Smart TV AND Format=ABA Display","Platform x Format","LG Smart TV_ABA Display",11083,0.006677,0.012703,0.526,0.526,0.53,0.005161,0.008193,"SUPPRESS","KARGO","2026-09-22","2026-10-22"
159,"Format=Breakaway AND Device=Computer","Format x Device","Breakaway_Computer",84210,0.006603,0.012703,0.52,0.52,0.52,0.006056,0.00715,"SUPPRESS","KARGO","2026-09-22","2026-10-22"
85,"Platform=LG Smart TV AND Format=Venti","Platform x Format","LG Smart TV_Venti",11194,0.014025,0.012703,1.104,1.104,1.1,0.011847,0.016204,"BOOST","KARGO","2026-09-22","2026-10-22"
86,"Format=Venti","CREATIVE_FORMAT","Venti",333919,0.014024,0.012703,1.104,1.104,1.1,0.013626,0.014423,"BOOST","KARGO","2026-09-22","2026-10-22"
87,"Device=Phone AND DMA=miami","Device x DMA","Phone_miami",49756,0.013968,0.012703,1.1,1.1,1.1,0.012937,0.014999,"NEUTRAL","KARGO","2026-09-22","2026-10-22"
64,"Device=Phone AND DMA=houston","Device x DMA","Phone_houston",49924,0.015644,0.012703,1.232,1.232,1.23,0.014555,0.016732,"BOOST","KARGO","2026-09-22","2026-10-22"
65,"Format=Runway AND Device=Tablet","Format x Device","Runway_Tablet",83760,0.015509,0.012703,1.221,1.221,1.22,0.014672,0.016345,"BOOST","KARGO","2026-09-22","2026-10-22"
66,"Platform=Roku AND Format=HighRise","Platform x Format","Roku_HighRise",11078,0.015436,0.012703,1.215,1.215,1.22,0.01314,0.017732,"BOOST","KARGO","2026-09-22","2026-10-22"
37,"Device=Connected TV AND DMA=atlanta","Device x DMA","Connected TV_atlanta",50359,0.019599,0.012703,1.543,1.543,1.54,0.018389,0.02081,"BOOST","KARGO","2026-09-22","2026-10-22"
38,"Device=Connected TV AND DMA=denver","Device x DMA","Connected TV_denver",49831,0.019506,0.012703,1.536,1.536,1.54,0.018292,0.02072,"BOOST","KARGO","2026-09-22","2026-10-22"
39,"Device=Connected TV AND DMA=los angeles","Device x DMA","Connected TV_los angeles",49722,0.019388,0.012703,1.526,1.526,1.53,0.018176,0.0206,"BOOST","KARGO","2026-09-22","2026-10-22"
82,"Device=Phone AND DMA=new york","Device x DMA","Phone_new york",50107,0.01421,0.012703,1.119,1.119,1.12,0.013173,0.015246,"BOOST","KARGO","2026-09-22","2026-10-22"
