"PLACEMENT_NAME","CREATIVE_FORMAT","TOTAL_EVENTS","BRANDS_PURCHASED","TOTAL_PURCHASE_VALUE","AVG_PURCHASE_VALUE"
"CTV Venti Package","Runway",153,12,1141.82,7.46
"Middle Banner - Standard","ABA Display",133,12,994.16,7.47
"CTV Venti Package","Venti",116,12,865.24,7.46
"Breakaway Display","Venti",191,12,1426.95,7.47
"Anchor w Video Package","Hover",166,12,1241.17,7.48
"Breakaway Display","Hover",112,11,836.44,7.47
"Mobile Hover","Runway",143,12,1065.93,7.45
"Anchor w Video Package","ABA Display",143,12,1067.6,7.47
"Middle Banner - Standard","HighRise",126,11,941.15,7.47
"Runway Premium","HighRise",132,12,985.29,7.46
"Mobile Hover","HighRise",143,12,1068.2,7.47
"Anchor w Video Package","Venti",129,12,961.38,7.45
"Middle Banner - Standard","Venti",143,12,1068.1,7.47
"Anchor w Video Package","Breakaway",143,12,1066.48,7.46
"Breakaway Display","ABA Display",121,12,902.66,7.46
"Runway Premium","Hover",122,12,909.84,7.46
"Middle Banner - Standard","Runway",125,12,933.23,7.47
"Runway Premium","ABA Display",120,12,893.89,7.45
"Mobile Hover","Hover",144,12,1075.59,7.47
"Breakaway Display","Runway",147,12,1097.26,7.46
"Breakaway Display","Breakaway",141,12,1053.83,7.47
"Runway Premium","Venti",147,12,1096.6,7.46
"Middle Banner - Standard","Hover",130,12,968.76,7.45
"Runway Premium","Runway",133,12,992.97,7.47
"Runway Premium","Breakaway",175,12,1307.52,7.47
"Middle Banner - Standard","Breakaway",159,12,1187.4,7.47
"Anchor w Video Package","Runway",129,12,962.36,7.46
"CTV Venti Package","ABA Display",119,12,888.64,7.47
"CTV Venti Package","HighRise",144,12,1074.24,7.46
"Mobile Hover","ABA Display",174,12,1297.62,7.46
"Anchor w Video Package","HighRise",141,12,1051.34,7.46
"Mobile Hover","Venti",133,12,993.18,7.47
"CTV Venti Package","Breakaway",137,12,1022.04,7.46
"Mobile Hover","Breakaway",153,12,1141.68,7.46
"CTV Venti Package","Hover",146,12,1089.61,7.46
"Breakaway Display","HighRise",156,12,1162.59,7.45
