"MODEL","RANK","FEATURE","IMPORTANCE_SCORE"
"ADROLL_CONVERSION_CLASSIFIER",1,"ATTRIBUTED_REVENUE",0.242
"ADROLL_CONVERSION_CLASSIFIER",2,"COMPOSITE_PROPENSITY",0.232
"ADROLL_CONVERSION_CLASSIFIER",3,"AFS_PROPENSITY",0.179
"ADROLL_CONVERSION_CLASSIFIER",4,"CITY",0.128667
"ADROLL_CONVERSION_CLASSIFIER",5,"DAYS_TO_CONVERSION_LAST_TOUCH",0.125667
"ADROLL_CONVERSION_CLASSIFIER",6,"AD_SIZE",0.045
"ADROLL_CONVERSION_CLASSIFIER",7,"SEGMENT_NAME",0.019667
"ADROLL_CONVERSION_CLASSIFIER",8,"CHANNEL",0.012
"ADROLL_CONVERSION_CLASSIFIER",9,"DEVICE",0.009
"ADROLL_CONVERSION_CLASSIFIER",10,"CONVERSION_TYPE",0.004667
"ADROLL_CONVERSION_CLASSIFIER",11,"CAMPAIGN_TYPE",0.002333
"ADROLL_REVENUE_CLASSIFIER",1,"ATTRIBUTED_REVENUE",0.279
"ADROLL_REVENUE_CLASSIFIER",2,"COMPOSITE_PROPENSITY",0.235833
"ADROLL_REVENUE_CLASSIFIER",3,"AFS_PROPENSITY",0.18275
"ADROLL_REVENUE_CLASSIFIER",4,"DAYS_TO_CONVERSION_LAST_TOUCH",0.162917
"ADROLL_REVENUE_CLASSIFIER",5,"CITY",0.065667
"ADROLL_REVENUE_CLASSIFIER",6,"AD_SIZE",0.043167
"ADROLL_REVENUE_CLASSIFIER",7,"CHANNEL",0.011833
"ADROLL_REVENUE_CLASSIFIER",8,"DEVICE",0.01
"ADROLL_REVENUE_CLASSIFIER",9,"CONVERSION_TYPE",0.005083
"ADROLL_REVENUE_CLASSIFIER",10,"CAMPAIGN_TYPE",0.00375
"ADROLL_FUNNEL_PREDICTOR",1,"COMPOSITE_PROPENSITY",0.211
"ADROLL_FUNNEL_PREDICTOR",2,"TOTAL_EVENTS",0.130333
"ADROLL_FUNNEL_PREDICTOR",3,"AFS_PROPENSITY",0.113333
"ADROLL_FUNNEL_PREDICTOR",4,"PAGE_VIEWS",0.107667
"ADROLL_FUNNEL_PREDICTOR",5,"B2B_ENGAGEMENT",0.097
"ADROLL_FUNNEL_PREDICTOR",6,"DAYS_ACTIVE",0.09
"ADROLL_FUNNEL_PREDICTOR",7,"PRODUCT_SEARCHES",0.078667
"ADROLL_FUNNEL_PREDICTOR",8,"B2B_HIGH_INTENT",0.072333
"ADROLL_FUNNEL_PREDICTOR",9,"ADD_TO_CARTS",0.058
"ADROLL_FUNNEL_PREDICTOR",10,"PRIMARY_DEVICE",0.026667
"ADROLL_FUNNEL_PREDICTOR",11,"PRIMARY_CHANNEL",0.011333
"ADROLL_FUNNEL_PREDICTOR",12,"CHANNEL_DIVERSITY",0.003333
"ADROLL_FUNNEL_PREDICTOR",13,"DEVICE_DIVERSITY",0.000333
"ADROLL_B2B_ACCOUNT_SCORER",1,"TOTAL_VISITS",0.462
"ADROLL_B2B_ACCOUNT_SCORER",2,"TOTAL_VISITORS",0.268
"ADROLL_B2B_ACCOUNT_SCORER",3,"COMPANY_INDUSTRY",0.198667
"ADROLL_B2B_ACCOUNT_SCORER",4,"COMPANY_REVENUE",0.032667
"ADROLL_B2B_ACCOUNT_SCORER",5,"COMPANY_SIZE",0.027333
"ADROLL_B2B_ACCOUNT_SCORER",6,"JOURNEY_STAGE",0.011333
