"MODEL","RANK","FEATURE","IMPORTANCE_SCORE"
"KARGO_ENGAGEMENT_CLASSIFIER",1,"COMPOSITE_PROPENSITY",0.349333
"KARGO_ENGAGEMENT_CLASSIFIER",2,"PUBLISHER_NAME",0.206667
"KARGO_ENGAGEMENT_CLASSIFIER",3,"GEO_DMA",0.184667
"KARGO_ENGAGEMENT_CLASSIFIER",4,"MEDIA_TYPE",0.058667
"KARGO_ENGAGEMENT_CLASSIFIER",5,"MOAT_INVIEW_VIEWABLE",0.042667
"KARGO_ENGAGEMENT_CLASSIFIER",6,"PLACEMENT_NAME",0.04
"KARGO_ENGAGEMENT_CLASSIFIER",7,"CREATIVE_FORMAT",0.037333
"KARGO_ENGAGEMENT_CLASSIFIER",8,"EVENT_TYPE",0.037333
"KARGO_ENGAGEMENT_CLASSIFIER",9,"DEVICE_PLATFORM",0.030333
"KARGO_ENGAGEMENT_CLASSIFIER",10,"DEVICE_TYPE",0.013
"KARGO_SPEND_CLASSIFIER",1,"COMPOSITE_PROPENSITY",0.540583
"KARGO_SPEND_CLASSIFIER",2,"MEDIA_TYPE",0.111
"KARGO_SPEND_CLASSIFIER",3,"GEO_DMA",0.10275
"KARGO_SPEND_CLASSIFIER",4,"PLACEMENT_NAME",0.0655
"KARGO_SPEND_CLASSIFIER",5,"EVENT_TYPE",0.0585
"KARGO_SPEND_CLASSIFIER",6,"CREATIVE_FORMAT",0.053333
"KARGO_SPEND_CLASSIFIER",7,"DEVICE_PLATFORM",0.04625
"KARGO_SPEND_CLASSIFIER",8,"DEVICE_TYPE",0.022083
