"MODEL","RANK","FEATURE","IMPORTANCE_SCORE"
"PUBMATIC_YIELD_CLASSIFIER",1,"BIDFLOOR",0.284333
"PUBMATIC_YIELD_CLASSIFIER",2,"COMPOSITE_PROPENSITY",0.222667
"PUBMATIC_YIELD_CLASSIFIER",3,"SITE_DOMAIN",0.138333
"PUBMATIC_YIELD_CLASSIFIER",4,"GEO_METRO",0.102
"PUBMATIC_YIELD_CLASSIFIER",5,"BANNER_POS",0.101667
"PUBMATIC_YIELD_CLASSIFIER",6,"DEVICE_TYPE",0.048667
"PUBMATIC_YIELD_CLASSIFIER",7,"PUBLISHER_NAME",0.036333
"PUBMATIC_YIELD_CLASSIFIER",8,"AUCTION_TYPE",0.028667
"PUBMATIC_YIELD_CLASSIFIER",9,"AD_FORMAT",0.022
"PUBMATIC_YIELD_CLASSIFIER",10,"CONTENT_GENRE",0.015333
"PUBMATIC_SPEND_CLASSIFIER",1,"BIDFLOOR",0.372833
"PUBMATIC_SPEND_CLASSIFIER",2,"COMPOSITE_PROPENSITY",0.341417
"PUBMATIC_SPEND_CLASSIFIER",3,"DEVICE_TYPE",0.08575
"PUBMATIC_SPEND_CLASSIFIER",4,"SITE_DOMAIN",0.070083
"PUBMATIC_SPEND_CLASSIFIER",5,"GEO_METRO",0.044333
"PUBMATIC_SPEND_CLASSIFIER",6,"PUBLISHER_NAME",0.03425
"PUBMATIC_SPEND_CLASSIFIER",7,"AD_FORMAT",0.03375
"PUBMATIC_SPEND_CLASSIFIER",8,"CONTENT_GENRE",0.017583
