"SEGMENT_ID","DIMENSIONS","BASELINE_FLOOR","RECOMMENDED_FLOOR","EXPECTED_REVENUE_LIFT_PCT","IMPRESSIONS","YIELD_MULTIPLIER"
1,"weather.com / native / Connected TV",0.00643,0.03115,384.5,387,4.845
2,"people.com / banner / Mobile/Tablet",0.00643,0.02923,354.6,766,4.546
3,"espn.com / native / Connected TV",0.00643,0.02677,316.4,386,4.164
4,"tmz.com / video / Mobile/Tablet",0.00643,0.02622,307.9,394,4.079
5,"weather.com / native / Set Top Box",0.00643,0.02556,297.5,337,3.975
6,"washingtonpost.com / native / Connected TV",0.00643,0.02552,296.9,405,3.969
7,"people.com / video / Connected TV",0.00643,0.02520,292.0,410,3.920
8,"nytimes.com / native / Mobile/Tablet",0.00643,0.02437,279.1,424,3.791
9,"people.com / video / Mobile/Tablet",0.00643,0.02379,270.0,362,3.700
10,"tmz.com / video / Connected TV",0.00643,0.02372,269.0,363,3.690
11,"variety.com / native / Connected TV",0.00643,0.02366,268.0,364,3.680
12,"people.com / video / Connected TV",0.00643,0.02366,268.0,364,3.680
13,"weather.com / native / Personal Computer",0.00643,0.02353,266.0,366,3.660
14,"bbc.com / video / Mobile/Tablet",0.00643,0.02353,266.0,366,3.660
15,"people.com / video / Set Top Box",0.00643,0.02347,265.0,367,3.650
16,"foxnews.com / video / Set Top Box",0.00643,0.02327,262.0,370,3.620
17,"espn.com / native / Set Top Box",0.00643,0.02327,262.0,370,3.620
18,"tmz.com / video / Connected TV",0.00643,0.02315,260.1,372,3.601
19,"nytimes.com / video / Connected TV",0.00643,0.02290,256.2,376,3.562
20,"buzzfeed.com / native / Personal Computer",0.00643,0.02284,255.3,377,3.553
21,"people.com / native / Connected TV",0.00643,0.02279,254.4,378,3.544
22,"weather.com / video / Phone",0.00643,0.02279,254.4,378,3.544
23,"tmz.com / video / Personal Computer",0.00643,0.02254,250.6,382,3.506
24,"techcrunch.com / native / Mobile/Tablet",0.00643,0.02248,249.7,383,3.497
26,"bbc.com / video / Connected TV",0.00643,0.02237,247.9,385,3.479
25,"espn.com / video / Personal Computer",0.00643,0.02237,247.9,385,3.479
27,"variety.com / video / Personal Computer",0.00643,0.02219,245.2,388,3.452
28,"espn.com / video / Mobile/Tablet",0.00643,0.02208,243.5,390,3.435
29,"washingtonpost.com / native / Mobile/Tablet",0.00643,0.02208,243.5,390,3.435
31,"buzzfeed.com / native / Connected TV",0.00643,0.02203,242.6,391,3.426
30,"espn.com / video / Connected TV",0.00643,0.02203,242.6,391,3.426
32,"weather.com / native / Mobile/Tablet",0.00643,0.02163,236.5,398,3.365
33,"theverge.com / video / Connected Device",0.00643,0.02158,235.7,399,3.357
34,"weather.com / native / Set Top Box",0.00643,0.02147,234.0,401,3.340
35,"people.com / banner / Connected TV",0.00643,0.02145,233.6,803,3.336
36,"washingtonpost.com / video / Connected Device",0.00643,0.02142,233.2,402,3.332
37,"cnet.com / native / Mobile/Tablet",0.00643,0.02137,232.4,403,3.324
38,"buzzfeed.com / video / Connected TV",0.00643,0.02111,228.3,408,3.283
39,"theverge.com / video / Mobile/Tablet",0.00643,0.02106,227.5,409,3.275
40,"variety.com / video / Tablet",0.00643,0.02095,225.9,411,3.259
41,"theverge.com / video / Mobile/Tablet",0.00643,0.02045,218.1,421,3.181
42,"theverge.com / banner / Set Top Box",0.00643,0.02037,216.8,761,3.168
43,"weather.com / banner / Mobile/Tablet",0.00643,0.02021,214.3,767,3.143
44,"techcrunch.com / video / Connected Device",0.00643,0.02020,214.2,341,3.142
45,"techcrunch.com / banner / Set Top Box",0.00643,0.02003,211.5,774,3.115
46,"weather.com / video / Connected TV",0.00643,0.02003,211.5,344,3.115
47,"forbes.com / video / Mobile/Tablet",0.00643,0.01997,210.6,345,3.106
48,"forbes.com / banner / Connected TV",0.00643,0.01987,209.1,780,3.091
49,"weather.com / native / Mobile/Tablet",0.00643,0.01980,207.9,348,3.079
50,"bbc.com / native / Mobile/Tablet",0.00643,0.01974,207.0,349,3.070
51,"theverge.com / video / Connected TV",0.00643,0.01957,204.4,352,3.044
52,"weather.com / native / Set Top Box",0.00643,0.01935,201.0,356,3.010
53,"tmz.com / native / Set Top Box",0.00643,0.01929,200.1,357,3.001
55,"weather.com / native / Tablet",0.00643,0.01924,199.3,358,2.993
54,"people.com / native / Connected TV",0.00643,0.01924,199.3,358,2.993
56,"techcrunch.com / native / Set Top Box",0.00643,0.01908,196.8,361,2.968
57,"espn.com / banner / Connected TV",0.00643,0.01908,196.8,722,2.968
59,"forbes.com / native / Connected TV",0.00643,0.01898,195.2,363,2.952
58,"weather.com / native / Personal Computer",0.00643,0.01898,195.2,363,2.952
60,"cnet.com / native / Connected TV",0.00643,0.01893,194.4,364,2.944
61,"weather.com / video / Connected Device",0.00643,0.01888,193.6,365,2.936
62,"weather.com / banner / Phone",0.00643,0.01886,193.3,822,2.933
63,"theverge.com / video / Mobile/Tablet",0.00643,0.01882,192.8,366,2.928
66,"nytimes.com / video / Connected TV",0.00643,0.01872,191.2,368,2.912
65,"people.com / video / Set Top Box",0.00643,0.01872,191.2,368,2.912
64,"espn.com / native / Phone",0.00643,0.01872,191.2,368,2.912
67,"buzzfeed.com / video / Mobile/Tablet",0.00643,0.01867,190.4,369,2.904
69,"foxnews.com / video / Personal Computer",0.00643,0.01867,190.4,369,2.904
68,"foxnews.com / native / Connected TV",0.00643,0.01867,190.4,369,2.904
71,"techcrunch.com / native / Mobile/Tablet",0.00643,0.01862,189.6,370,2.896
70,"weather.com / video / Connected Device",0.00643,0.01862,189.6,370,2.896
72,"bbc.com / native / Connected Device",0.00643,0.01852,188.1,372,2.881
73,"techcrunch.com / native / Connected TV",0.00643,0.01852,188.1,372,2.881
74,"forbes.com / video / Connected Device",0.00643,0.01852,188.1,372,2.881
75,"buzzfeed.com / native / Personal Computer",0.00643,0.01847,187.3,373,2.873
76,"washingtonpost.com / video / Personal Computer",0.00643,0.01847,187.3,373,2.873
77,"techcrunch.com / banner / Connected TV",0.00643,0.01845,186.9,747,2.869
82,"theverge.com / video / Connected TV",0.00643,0.01842,186.5,374,2.865
78,"cnet.com / video / Tablet",0.00643,0.01842,186.5,374,2.865
81,"weather.com / native / Connected TV",0.00643,0.01842,186.5,374,2.865
