"SITE_DOMAIN","AD_FORMAT","DEVICE_TYPE_LABEL","GEO_DMA","CONTENT_GENRE","IMPRESSIONS","PURCHASES","PURCHASE_RATE","YIELD_MULTIPLIER","SUPPORT"
"techcrunch.com","banner","Connected TV","New York","",751,8,0.01065,2.853,751
"tmz.com","native","Tablet","Denver","",376,1,0.00266,0.713,376
"weather.com","banner","Set Top Box","New York","",770,6,0.00779,2.087,770
"nytimes.com","native","Connected TV","New York","",407,2,0.00491,1.316,407
"techcrunch.com","banner","Set Top Box","New York","",784,1,0.00128,0.342,784
"bbc.com","video","Connected TV","Los Angeles","",398,3,0.00754,2.019,398
"tmz.com","native","Connected Device","Dallas-Ft. Worth","",365,0,0.00000,0.000,365
"weather.com","native","Personal Computer","Houston","",371,0,0.00000,0.000,371
"cnn.com","video","Personal Computer","Denver","",364,2,0.00550,1.472,364
"people.com","video","Set Top Box","Miami","",390,0,0.00000,0.000,390
"foxnews.com","video","Personal Computer","Houston","",369,4,0.01084,2.904,369
"cnn.com","video","Personal Computer","Los Angeles","",350,2,0.00571,1.531,350
"foxnews.com","video","Tablet","Denver","",375,0,0.00000,0.000,375
"weather.com","native","Set Top Box","Philadelphia","",337,5,0.01484,3.975,337
"buzzfeed.com","native","Set Top Box","New York","",404,0,0.00000,0.000,404
"cnn.com","native","Connected Device","Houston","",380,0,0.00000,0.000,380
"people.com","native","Tablet","Dallas-Ft. Worth","",388,1,0.00258,0.690,388
"nytimes.com","video","Connected Device","Philadelphia","",372,0,0.00000,0.000,372
"cnn.com","banner","Tablet","Atlanta","",745,1,0.00134,0.359,745
"espn.com","native","Phone","Houston","",353,1,0.00283,0.759,353
"techcrunch.com","video","Tablet","Miami","",364,1,0.00275,0.736,364
"espn.com","native","Connected TV","Denver","",402,4,0.00995,2.665,402
"cnet.com","banner","Connected TV","Dallas-Ft. Worth","",817,4,0.00490,1.312,817
"techcrunch.com","banner","Connected Device","Philadelphia","",754,2,0.00265,0.711,754
"weather.com","native","Tablet","Houston","",381,2,0.00525,1.406,381
"cnet.com","video","Phone","Phoenix","",386,0,0.00000,0.000,386
"tmz.com","video","Mobile/Tablet","New York","",382,2,0.00524,1.403,382
"bbc.com","native","Set Top Box","Philadelphia","",378,2,0.00529,1.417,378
"tmz.com","native","Personal Computer","Philadelphia","",379,1,0.00264,0.707,379
"washingtonpost.com","video","Phone","Houston","",410,0,0.00000,0.000,410
"buzzfeed.com","banner","Tablet","Miami","",784,5,0.00638,1.709,784
"theverge.com","banner","Mobile/Tablet","New York","",790,4,0.00506,1.356,790
"espn.com","video","Set Top Box","Phoenix","",355,3,0.00845,2.264,355
"theverge.com","video","Tablet","Denver","",393,2,0.00509,1.363,393
"cnn.com","native","Phone","Dallas-Ft. Worth","",392,1,0.00255,0.683,392
"people.com","video","Connected TV","Atlanta","",364,5,0.01374,3.680,364
"espn.com","video","Personal Computer","Los Angeles","",368,1,0.00272,0.728,368
"bbc.com","native","Phone","Houston","",449,1,0.00223,0.597,449
"people.com","video","Connected TV","Chicago","",415,2,0.00482,1.291,415
"nytimes.com","banner","Connected TV","Dallas-Ft. Worth","",789,0,0.00000,0.000,789
"nytimes.com","native","Connected TV","Houston","",405,4,0.00988,2.646,405
"people.com","banner","Connected Device","Houston","",795,3,0.00377,1.011,795
"people.com","native","Phone","Miami","",378,3,0.00794,2.126,378
"espn.com","native","Phone","Miami","",382,0,0.00000,0.000,382
"variety.com","video","Connected Device","Chicago","",385,2,0.00520,1.392,385
"nytimes.com","native","Set Top Box","New York","",366,3,0.00820,2.196,366
"people.com","video","Phone","Dallas-Ft. Worth","",382,2,0.00524,1.403,382
"variety.com","banner","Mobile/Tablet","New York","",771,4,0.00519,1.390,771
"cnet.com","native","Connected TV","New York","",366,0,0.00000,0.000,366
"techcrunch.com","native","Connected TV","New York","",355,0,0.00000,0.000,355
"bbc.com","video","Phone","Dallas-Ft. Worth","",384,3,0.00781,2.093,384
"buzzfeed.com","banner","Tablet","Phoenix","",731,1,0.00137,0.366,731
"bbc.com","video","Connected TV","Houston","",423,1,0.00236,0.633,423
"bbc.com","video","Connected TV","Phoenix","",391,3,0.00767,2.055,391
"washingtonpost.com","banner","Phone","Los Angeles","",753,2,0.00266,0.711,753
"techcrunch.com","banner","Tablet","Phoenix","",763,1,0.00131,0.351,763
"cnn.com","banner","Phone","Phoenix","",770,0,0.00000,0.000,770
"nytimes.com","video","Personal Computer","New York","",334,0,0.00000,0.000,334
"tmz.com","native","Set Top Box","Dallas-Ft. Worth","",386,4,0.01036,2.776,386
"washingtonpost.com","native","Set Top Box","Atlanta","",405,3,0.00741,1.984,405
"forbes.com","banner","Connected Device","Los Angeles","",718,3,0.00418,1.119,718
"nytimes.com","banner","Set Top Box","Miami","",762,6,0.00787,2.109,762
"nytimes.com","native","Set Top Box","Houston","",375,2,0.00533,1.429,375
"forbes.com","banner","Connected TV","Houston","",738,4,0.00542,1.452,738
"foxnews.com","video","Phone","Chicago","",397,0,0.00000,0.000,397
"buzzfeed.com","banner","Set Top Box","New York","",700,1,0.00143,0.383,700
"cnn.com","banner","Connected Device","Dallas-Ft. Worth","",757,2,0.00264,0.708,757
"espn.com","banner","Tablet","Los Angeles","",803,3,0.00374,1.001,803
"tmz.com","video","Set Top Box","Denver","",369,0,0.00000,0.000,369
"theverge.com","video","Tablet","Atlanta","",379,1,0.00264,0.707,379
"people.com","native","Set Top Box","Philadelphia","",384,3,0.00781,2.093,384
"cnet.com","native","Mobile/Tablet","Philadelphia","",403,5,0.01241,3.324,403
"cnn.com","banner","Connected TV","Dallas-Ft. Worth","",753,2,0.00266,0.711,753
"people.com","banner","Connected TV","Atlanta","",785,2,0.00255,0.683,785
"cnet.com","video","Phone","Philadelphia","",404,1,0.00248,0.663,404
"techcrunch.com","native","Phone","Phoenix","",394,0,0.00000,0.000,394
"theverge.com","native","Tablet","Philadelphia","",378,2,0.00529,1.417,378
"theverge.com","banner","Personal Computer","Houston","",759,2,0.00264,0.706,759
"weather.com","banner","Connected Device","Phoenix","",804,4,0.00498,1.333,804
"forbes.com","banner","Mobile/Tablet","Houston","",738,5,0.00678,1.815,738
"bbc.com","banner","Mobile/Tablet","Houston","",781,2,0.00256,0.686,781
"washingtonpost.com","native","Personal Computer","Philadelphia","",373,1,0.00268,0.718,373
"cnet.com","banner","Connected TV","Denver","",748,5,0.00668,1.791,748
"nytimes.com","native","Set Top Box","Atlanta","",403,0,0.00000,0.000,403
"bbc.com","video","Tablet","Phoenix","",362,1,0.00276,0.740,362
"bbc.com","banner","Set Top Box","Miami","",749,5,0.00668,1.788,749
