"RULE_ID","PREDICATE","DIM","DIM_VALUE","SUPPORT","PURCHASE_RATE","BASELINE_RATE","RAW_LIFT","SHRUNK_LIFT","BID_MULTIPLIER","CI_LOWER","CI_UPPER","RULE_ACTION","SOURCE_PLATFORM","VALID_FROM","VALID_TO"
35,"Format=native AND Metro=Chicago","Format x Metro","native_Chicago",49716,0.016956,0.010739,1.579,1.579,1.58,0.015821,0.018091,"BOOST","PUBMATIC","2026-09-17","2026-10-17"
36,"Format=native AND Metro=Atlanta","Format x Metro","native_Atlanta",49898,0.016894,0.010739,1.573,1.573,1.57,0.015764,0.018025,"BOOST","PUBMATIC","2026-09-17","2026-10-17"
37,"DeviceType=4 AND Genre=Reality","Device x Genre","4_Reality",9491,0.016437,0.010739,1.531,1.531,1.53,0.013879,0.018995,"BOOST","PUBMATIC","2026-09-17","2026-10-17"
38,"DeviceType=1 AND Genre=Comedy","Device x Genre","1_Comedy",9496,0.016428,0.010739,1.53,1.53,1.53,0.013871,0.018985,"BOOST","PUBMATIC","2026-09-17","2026-10-17"
39,"Publisher=nytimes.com AND Format=native","Site x Format","nytimes.com_native",33291,0.016401,0.010739,1.527,1.527,1.53,0.015036,0.017765,"BOOST","PUBMATIC","2026-09-17","2026-10-17"
162,"Publisher=buzzfeed.com","SITE_DOMAIN","buzzfeed.com",132836,0.010374,0.010739,0.966,0.966,0.97,0.009829,0.010919,"NEUTRAL","PUBMATIC","2026-09-17","2026-10-17"
163,"DeviceType=5 AND Genre=Documentary","Device x Genre","5_Documentary",9409,0.010309,0.010739,0.96,0.96,0.96,0.008268,0.01235,"NEUTRAL","PUBMATIC","2026-09-17","2026-10-17"
164,"Publisher=variety.com AND DeviceType=4","Site x Device","variety.com_4",19050,0.010289,0.010739,0.958,0.958,0.96,0.008856,0.011722,"NEUTRAL","PUBMATIC","2026-09-17","2026-10-17"
165,"Publisher=cnn.com AND DeviceType=4","Site x Device","cnn.com_4",18816,0.010204,0.010739,0.95,0.95,0.95,0.008768,0.01164,"NEUTRAL","PUBMATIC","2026-09-17","2026-10-17"
73,"Format=video AND Metro=Chicago","Format x Metro","video_Chicago",49827,0.014611,0.010739,1.361,1.361,1.36,0.013557,0.015664,"BOOST","PUBMATIC","2026-09-17","2026-10-17"
74,"DeviceType=4 AND Genre=Comedy","Device x Genre","4_Comedy",9497,0.014531,0.010739,1.353,1.353,1.35,0.012124,0.016938,"BOOST","PUBMATIC","2026-09-17","2026-10-17"
75,"Publisher=variety.com AND DeviceType=7","Site x Device","variety.com_7",19189,0.014435,0.010739,1.344,1.344,1.34,0.012748,0.016123,"BOOST","PUBMATIC","2026-09-17","2026-10-17"
76,"Format=video","AD_FORMAT","video",500121,0.014405,0.010739,1.341,1.341,1.34,0.014074,0.014735,"BOOST","PUBMATIC","2026-09-17","2026-10-17"
77,"Format=native AND Metro=Denver","Format x Metro","native_Denver",50050,0.014226,0.010739,1.325,1.325,1.32,0.013188,0.015263,"BOOST","PUBMATIC","2026-09-17","2026-10-17"
217,"Publisher=cnet.com AND DeviceType=6","Site x Device","cnet.com_6",19218,0.007285,0.010739,0.678,0.678,0.68,0.006083,0.008487,"SUPPRESS","PUBMATIC","2026-09-17","2026-10-17"
