"IMPRESSIONID","BRAND_ID","BRAND_NAME","PURCHASE_AMOUNT","TX_COUNT","PURCHASE_MONTH","MATCH_CODE","MATCH_LEVEL"
"3db77b2a-e613-4b30-a5ee-514bc75843ae",1144721,"Starbucks",8.31,3,"2025-12-01","MDH1","HOUSEHOLD"
"8a2b6d39-ef5c-4681-b40f-d0e5eb0b767a",1144850,"Sephora",8.28,3,"2025-12-01","MDH1","HOUSEHOLD"
"732f23fa-6839-4f30-abea-8797f3a27fd1",1144780,"CVS",7.58,1,"2025-12-01","MDH1","HOUSEHOLD"
"118da510-ea30-4b0c-8cda-f0cf4c608b03",1144722,"Chick-fil-A",7.79,1,"2026-06-01","MDH1","HOUSEHOLD"
"76af33b5-0455-49ed-92ff-ec72f53700b6",1144780,"CVS",8.45,4,"2026-06-01","MDH1","HOUSEHOLD"
"18d1a5fe-a925-46fe-999d-e7fc3db803ad",1144761,"Old Navy",7.8,1,"2025-04-01","MDH1","HOUSEHOLD"
"4d960ee9-f420-46db-b46b-fb1f33f52a90",1144780,"CVS",7.56,1,"2025-04-01","MDH1","HOUSEHOLD"
"8c6220f6-52dd-493d-b16b-993d62042dd3",1144850,"Sephora",7.54,1,"2026-03-01","MDH1","HOUSEHOLD"
"5e440baa-6a6a-4e34-95db-fae19de776f9",1144780,"CVS",8.05,2,"2025-11-01","MDH1","HOUSEHOLD"
"77fd2af9-312a-43bd-a799-c305f4ead3a5",1144750,"Target",7.52,1,"2025-08-01","MDH1","HOUSEHOLD"
"e71504dd-1e76-45f5-879d-e79d8eecfce0",1144800,"Home Depot",7.58,1,"2025-07-01","MDH1","HOUSEHOLD"
"0caac5e4-28a2-477a-b535-7825ea8bdcbd",1144761,"Old Navy",7.72,1,"2025-09-01","MDH1","HOUSEHOLD"
"09af095e-a5ff-4551-9fa0-043fdc2bbee1",1144760,"Nike",7.58,1,"2026-02-01","MDH1","HOUSEHOLD"
"4dc10ba8-ad53-47ac-87ec-3728971cf54c",1144790,"Apple",9.02,6,"2025-06-01","MDH1","HOUSEHOLD"
"7a6b4e68-f9b3-4cb7-8eea-43a0ca147768",1144850,"Sephora",7.5,1,"2025-09-01","MDH1","HOUSEHOLD"
"d25bede4-bd69-4170-9d78-25688999227e",1144800,"Home Depot",7.54,1,"2026-01-01","MDH1","HOUSEHOLD"
"9d111432-62da-4f18-80de-9c46b0d3b633",1144761,"Old Navy",7.48,1,"2026-05-01","MDH1","HOUSEHOLD"
"56828665-81b8-4a7a-b663-0f7662c488d5",1144750,"Target",7.92,2,"2026-04-01","MDH1","HOUSEHOLD"
"a28af436-6f87-4b6b-a6ee-e564442f54c8",1144800,"Home Depot",7.41,1,"2026-04-01","MDH1","HOUSEHOLD"
"9eefb162-ef14-47bd-aa83-07dbc3b31c89",1144850,"Sephora",7.53,1,"2026-02-01","MDH1","HOUSEHOLD"
"5675290c-dbba-47b1-bbc5-c91b9d6dfeab",1144760,"Nike",7.61,1,"2025-10-01","MDH1","HOUSEHOLD"
"c83438ee-6704-4e25-9c5c-eedf77178b0c",1144750,"Target",7.44,1,"2025-10-01","MDH1","HOUSEHOLD"
"5c9d5141-537c-4a3c-9be8-2e5f34be326a",1144722,"Chick-fil-A",7.48,1,"2025-10-01","MDH1","HOUSEHOLD"
"944dd8a5-de27-4e64-9141-189a762b023d",1144761,"Old Navy",7.94,2,"2026-06-01","MDH1","HOUSEHOLD"
"36b5ddc6-6859-4677-a4b7-621afd0feb90",1144721,"Starbucks",7.98,2,"2026-04-01","MDH1","HOUSEHOLD"
"64959072-789b-4d0f-abcb-d440e1b4b204",1144761,"Old Navy",7.7,1,"2026-04-01","MDH1","HOUSEHOLD"
"77918982-e243-4b2a-b0bc-8157a4000af5",1144760,"Nike",7.97,2,"2026-07-01","MDH1","HOUSEHOLD"
"b827e2c2-e9fb-4ca9-9c27-85da154c03b4",1144720,"McDonalds",9.25,7,"2025-12-01","MDH1","HOUSEHOLD"
"21a82b90-15f3-4074-a4e5-5f2ec20b53c1",1144750,"Target",8.24,3,"2025-12-01","MDH1","HOUSEHOLD"
"43992acb-5450-42d3-af19-97edca163f48",1144850,"Sephora",7.44,1,"2026-03-01","MDH1","HOUSEHOLD"
"1bd42fbc-c3f1-44fd-b606-785a545ecdd2",1144722,"Chick-fil-A",7.82,1,"2025-10-01","MDH1","HOUSEHOLD"
"41727ed3-a969-4f87-9243-d78eafede24e",1144760,"Nike",8.38,3,"2025-07-01","MDH1","HOUSEHOLD"
"b7dd4110-ba31-4408-94aa-127e7eff20fe",1144790,"Apple",7.63,1,"2025-05-01","MDH1","HOUSEHOLD"
"6ae8992b-db9f-46eb-94bd-30aa8e1ac568",1144790,"Apple",7.63,1,"2025-09-01","MDH1","HOUSEHOLD"
"95412e6f-c2ae-49e2-9459-230ae6f4d1b2",1144850,"Sephora",7.44,1,"2025-09-01","MDH1","HOUSEHOLD"
"2fd1cf3a-45e6-46d9-a1d8-3025a5265641",1144910,"Netflix",8.2,3,"2025-07-01","MDH1","HOUSEHOLD"
"7e52eff4-001c-4a28-9697-f67f110c6f2e",1144780,"CVS",7.6,1,"2025-04-01","MDH1","HOUSEHOLD"
"e4978b76-2078-4f1c-b3e5-ab05634cdc03",1144721,"Starbucks",7.7,1,"2025-04-01","MDH1","HOUSEHOLD"
"821c5161-76e2-4536-b2e8-65e187d7149d",1144673,"Walmart Grocery",8.03,2,"2026-06-01","MDH1","HOUSEHOLD"
"d9ee77cb-e4ef-4b82-8c43-983e74b19b61",1144910,"Netflix",7.5,1,"2026-08-01","MDH1","HOUSEHOLD"
"9e390d46-3d70-4057-a844-8df583314fc8",1144780,"CVS",8.21,3,"2026-08-01","MDH1","HOUSEHOLD"
"b4098ce2-e8d6-4248-9f09-7a98f4ba3a96",1144721,"Starbucks",8.84,5,"2025-11-01","MDH1","HOUSEHOLD"
"cba86eaa-c3ff-459e-ac8e-08caa2506146",1144760,"Nike",7.53,1,"2026-01-01","MDH1","HOUSEHOLD"
"8bf78978-4255-4567-988f-aedf00f47973",1144910,"Netflix",8.27,3,"2026-08-01","MDH1","HOUSEHOLD"
"a978d3d1-4071-4227-8e40-ca8e1cc6d884",1144760,"Nike",7.77,1,"2026-08-01","MDH1","HOUSEHOLD"
"8af23082-d2d5-4503-9c41-eb573ca6d585",1144721,"Starbucks",7.54,1,"2025-08-01","MDH1","HOUSEHOLD"
"826dd40f-faf4-473c-a24f-10be3bdc3110",1144720,"McDonalds",7.71,1,"2026-01-01","MDH1","HOUSEHOLD"
"8553e783-4edc-43bb-8b76-e64263ee1cc0",1144850,"Sephora",7.73,1,"2025-03-01","MDH1","HOUSEHOLD"
